ID,HOF_S(kJ/mol),Density(g/cm^3),BDE(kJ/mol),DetoD(m/s),DetoP(GPa),SMILES
MEWLIL,-119.4,1.4221,301.1,4865,9.2,C=CCn1c(=O)[nH]c2c1ccc(c2)[N+](=O)[O-]
MEWSAK,-259.8,1.7602,144.6,8873,35.1,[O-][N+](=O)C(CO[N+](=O)[O-])CO[N+](=O)[O-]
MEWTUF,-380.4,1.2809,207.5,4551,7.4,OC[C@@]1(CN(C[C@@H]1c1ccc(cc1)OC)C)[N+](=O)[O-]
MICMAM,-79.5,1.4432,299.7,5737,12.9,CCCNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
MICMEQ,-109.6,1.3773,300,5477,11.4,CCCCNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
MICMIU,-140.3,1.3317,298.6,5263,10.2,CCCCCNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
MIFWOO,-77.6,1.4167,294.4,4688,8.5,O=C1Nc2n[nH]c(c2[C@@H](C1)c1ccc(cc1)[N+](=O)[O-])C
MIMPOQ,13,1.3627,225.5,5025,9.5,[O-][N+](=O)C[C@H]1ON=C(C1)c1ccccc1
MIMYUF,275.2,1.3623,289.3,3877,5.7,N#Cc1c(N)nc2c(c1c1ccc(cc1)[N+](=O)[O-])ccc1c2cccc1
MINHAV,703.6,1.7418,126.5,8175,29.6,[O-][N+](=O)Nc1nnc2n(n1)cnn2
MINPAB,92.7,1.3008,273.9,4056,6,Cc1ccc(c(c1)C)/N=C/c1ccccc1[N+](=O)[O-]
MINPEF,70.7,1.291,291,3998,5.8,Cc1ccc(c(c1)C)/N=C/c1cccc(c1)[N+](=O)[O-]
MIQNOP,-327.8,1.4079,278.1,4593,8.1,O=C(c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O[C@@H]1C[C@H]2C[C@@H]1c1c2cccc1
MIYDII,-368.6,1.5186,192.7,5985,14.5,OC(=O)[C@@H]1CCCN/C(=N/[N+](=O)[O-])/N1
MNABTZ10,422.1,1.4073,279.6,4921,9.3,C[n+]1nc([N-]c2ccccc2[N+](=O)[O-])c2c(n1)cccc2
MNETAM01,-15.6,1.3177,324.2,6084,13.6,CN(/C=C/[N+](=O)[O-])C
MNHCHA,-562.6,1.6539,255.6,6405,17.6,[O-][N+](=O)[C@@]12C[C@@H]1[C@]1(C[C@H]1C[C@@]2(O)C(=O)O)[N+](=O)[O-]
MNIANL05,5.5,1.438,294.7,5362,11.2,Nc1cccc(c1)[N+](=O)[O-]
MNIMET,-173,1.4497,318.5,5793,13.2,OCCn1c(C)ncc1[N+](=O)[O-]
MNIPZN,106.5,1.429,279,4449,7.7,Cc1ccc(c(c1)[N+](=O)[O-])N/N=C/1\C(=O)C=Cc2c1cccc2
MNPMAL01,-455,1.5611,283,5248,11.4,O=C(Nc1cccc(c1)[N+](=O)[O-])/C=C\C(=O)O
MNQUON10,-180.7,1.5946,360.9,5350,12,COc1cc([N+](=O)[O-])c2c(c1=O)ccc[nH]2
MOCJUK01,71,1.7926,255.2,7658,26.4,[O-][N+](=O)c1cc(cc(c1c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
MODPOL,307.6,1.5228,277.1,5853,13.9,[O-][N+](=O)c1cc(ccc1C)c1nnn[nH]1
MOHZEQ,150.1,1.3783,294.8,4627,8.1,Cc1ccc(cc1)N/N=C\1/C(=NN(C1=O)c1cccc(c1)[N+](=O)[O-])C
MOKLAA,-605.5,1.2902,303.1,4628,7.7,CNC(=O)Oc1cc(ccc1OC(C)C)[N+](=O)[O-]
MOLFID,-196.8,1.2411,316.5,4310,6.5,O=C1C=CC(=C/C/1=C/NCCN1CCCCC1)[N+](=O)[O-]
MOMHAZ,165,1.4918,294.3,4783,9.2,[O-][N+](=O)c1ccc(cc1)c1nnn2c1COCc1c2cccc1
MONLAE,-130.2,1.5111,296.9,4180,7.1,[O-][N+](=O)c1ccc(cc1)/N=C/1\OC(=O)c2c3c1cccc3ccc2
MOPHIK,70,1.4062,323.4,4911,9.3,O=C(c1cc(cn1C)[N+](=O)[O-])N/N=C/c1ccccc1
MOQNIQ,-316.6,1.3025,227.9,3947,5.7,[O-][N+](=O)C[C@@H]([C@@]1(N=C(C(=O)O1)C)c1ccccc1)c1ccccc1
MOSLUC,-208.6,1.4183,305.5,4593,8.2,COc1ccc(cc1)/N=C/c1cc(ccc1O)[N+](=O)[O-]
MOTJOU,-84.3,1.3627,119.1,5323,10.7,COc1ccc(cc1)N([N+](=O)[O-])C
MOZLUJ,-238.3,1.2447,252,4440,6.9,CCCNC(=O)c1ccccc1[N+](=O)[O-]
MTNANL,77.9,1.7315,113.6,7847,27.2,CN(c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
MTNOAN10,-177.5,1.5762,242.1,6588,18.1,CC(=O)N(c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])C
MUBGUM,-269.4,1.3724,313.1,4926,9.2,O=C1C=CC(=C/C/1=C/NCCN1CCOCC1)[N+](=O)[O-]
MUBKEA,-174.9,1.4211,290.4,4501,7.9,O=C([C@H]1O[C@H]1c1ccc(cc1)[N+](=O)[O-])Nc1ccccc1
MUBROR,7.4,1.3849,293.1,4208,6.7,[O-][N+](=O)c1ccc(cc1)COc1ccc2c(c1)cccn2
MUCGUN,-194.9,1.5733,285,5489,12.5,O=C(c1ccc(cc1)[N+](=O)[O-])NNC(=O)c1ccc(cc1)[N+](=O)[O-]
MUDWEO01,127.1,1.4023,309.3,4693,8.5,[O-][N+](=O)c1cc([N+](=O)[O-])c(cc1Nc1ccccc1)Nc1ccccc1
MUDYOA,-135.7,1.5049,307.6,5019,10.2,Oc1ccc(c(c1)O)/C=N/Nc1ccc(cc1)[N+](=O)[O-]
MUFJOO,-126.8,1.4955,261.7,4871,9.5,O=Cc1c(ccc2c1cccc2)Oc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
MUFKUV,-18.1,1.4803,264.2,4763,9,[O-][N+](=O)c1cc(ccc1Oc1ccc2c(c1)cccc2)[N+](=O)[O-]
MUGNUX01,-462.7,1.9868,177.6,8275,32.8,[O-][N+](=O)N1[C@@H]2O[C@H]3O[C@@H]2N([C@H]2[C@@H]1O[C@@H]3O2)[N+](=O)[O-]
MUGSEM,-133,1.4122,289.9,4176,6.7,O=C1Cc2ccccc2[C@H](N1)c1ccc(cc1)[N+](=O)[O-]
MUGTAJ,-134.6,1.3794,290.9,4110,6.4,O=C1Cc2ccccc2[C@H](N1)c1cccc(c1)[N+](=O)[O-]
MUJKEH,132.8,1.4464,290.8,4937,9.6,O=C(c1ccncc1)N/N=C/c1cccc(c1)[N+](=O)[O-]
MUKCAX,-26.8,1.6494,310.9,5878,14.8,[O-][N+](=O)c1cccc2c1[nH]nc2O
MULGUW,108.3,1.3576,313.8,4516,7.7,Cc1nc(c(n1C)[N+](=O)[O-])/C=C/c1ccccc1
MUTSAW,-181.7,1.4747,356.6,6042,14.5,OCCN1CCN/C/1=C\[N+](=O)[O-]
MUYLAT,-99.3,1.4105,287.8,4685,8.5,Cc1cc(C)n(c(=O)n1)c1cccc(c1)[N+](=O)[O-]
MUZNEC,171.1,1.5429,297.1,6948,19.8,[O-][N+](=O)c1n[nH]nc1C
NABMIM,-466.5,1.6208,140.3,7735,25.3,OC(=O)CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
NABMOS,75.2,1.688,150.8,8149,28.9,[O-][N+](=O)N1CCN(C1)[N+](=O)[O-]
NABMUY,-203,1.7417,143.6,8338,30.8,CC([N+](=O)[O-])([N+](=O)[O-])CN([N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])C
NACXEU01,485.2,1.9592,222.7,8987,38.4,[O-][N+](=O)[C@]12[C@H]3[C@]4([C@@H]2[C@]2([C@@H]1[C@@]3([C@@]42[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
NAGGOU,372.2,1.5617,286.3,6090,15.3,[O-][N+](=O)c1ccc(cc1)n1cnnn1
NANGIT,-154.2,1.4207,101.8,6002,14,[O-][N+](=O)[C@@]12[N-][N+](=O)C([C@]2(CC(C1)(C)C)[N+](=O)[O-])(C)C
NANILI29,3.1,1.4571,310.8,5402,11.5,Nc1ccc(cc1)[N+](=O)[O-]
NANVED,-196.5,1.429,254.8,4866,9.2,CCOC(=O)[C@@](c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])(c1ccccc1)C#N
NAPHAP,567.4,1.7951,265.6,8512,32.7,N#[N+]/N=C/1\N=[NH+]/C(=N\[N+](=O)[O-])/N1
NAPHUK,56.6,1.5556,278.1,7275,21.8,[O-][N+](=O)/C=C/C=C/[N+](=O)[O-]
NAPJIA,-40.5,1.4187,267.2,6206,14.9,C/C(=C\C=C(\[N+](=O)[O-])/C)/[N+](=O)[O-]
NAPXEK,315.5,1.3073,296.7,4285,6.7,[O-][N+](=O)c1ccc(cc1)c1nnn(c1C)C(=C)c1ccccc1
NAQSUW,30.4,1.4957,290.3,5214,10.9,Nc1cc(ccc1c1ccc(cc1)[N+](=O)[O-])[N+](=O)[O-]
NASXEN,-748.5,1.4235,277.6,4462,7.7,O=C1OC2(CCCCC2)OC(=O)C1=CNc1ccccc1[N+](=O)[O-]
NATHAS,29.9,1.5178,247.4,5820,13.7,COc1cccc(c1)/C(=N/Nc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])/C
NAWPUW,12.1,1.5793,232.2,6441,17.3,[O-][N+](=O)c1cc(cc(c1N1CCCC1)[N+](=O)[O-])[N+](=O)[O-]
NAWQAD,-108.5,1.5973,236.1,6612,18.3,[O-][N+](=O)c1cc(cc(c1N1CCOCC1)[N+](=O)[O-])[N+](=O)[O-]
NAWQEH,-34.4,1.5297,238.2,6141,15.4,[O-][N+](=O)c1cc(cc(c1N1CCCCC1)[N+](=O)[O-])[N+](=O)[O-]
NAXPEJ,9.6,1.3307,291.9,4348,7,O=C1c2ccccc2NC(N1/N=C/c1cccc(c1)[N+](=O)[O-])(C)C
NAYNUX01,-21.2,2.0142,150.1,9130,40.2,[O-][N+](=O)N1[C@@H]2O[C@@H]3[C@H]1N([N+](=O)[O-])[C@@H]1N([C@H]2O[C@@H]1N3[N+](=O)[O-])[N+](=O)[O-]
NAYPAF,-22.9,1.9671,153.4,8974,38.3,[O-][N+](=O)N1[C@H]2O[C@H]3[C@@H]1N([N+](=O)[O-])[C@H]1O[C@@H]2N([N+](=O)[O-])[C@H]1N3[N+](=O)[O-]
NBARBA,-540.2,1.8682,337.4,6965,22.4,[O-][N+](=O)c1c(O)[nH]c(=O)[nH]c1=O
NBCBRE10,-181.1,1.4558,276.1,4940,9.6,N#C[C@@H]1[C@H]2C[C@H]3[C@@H]1C=C[C@H]3[C@@H]2OC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
NBFURX,-174.5,1.6876,288.8,6237,16.9,O/N=C/1\Oc2c(C1=O)cc(cc2)[N+](=O)[O-]
NBZMAA,157.1,1.3181,295.8,4339,6.9,CN(c1ccc(cc1)/N=C/c1ccc(cc1)[N+](=O)[O-])C
NEDCAA,128.4,1.4634,297,5234,10.8,[O-][N+](=O)c1ccc(cc1)N/C=N/c1ccc(cc1)[N+](=O)[O-]
NEDDOP,-438.6,1.5908,342.3,5577,13,OC[C@H]1O[C@H](C[C@@H]1O)n1cc(c2c1ncnc2N)[N+](=O)[O-]
NEDSEU,-106.9,1.4161,226,5800,13,CN1C[C@]2(CC=C[C@@](C1)(C2)[N+](=O)[O-])[N+](=O)[O-]
NEGKES,70,1.2707,250.3,4477,7.2,[O-][N+](=O)c1ccccc1n1nc(cc1N)C(C)(C)C
NEHPOG,58.7,1.5008,220.8,5876,13.9,COc1ccc(cc1)/C(=N\Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])/[N+](=O)[O-]
NEMLIA,-106.6,1.4429,310,4924,9.5,COc1cc(/C=N/Nc2ccc(cc2)[N+](=O)[O-])ccc1O
NEQGOH,-111.5,1.4507,294.9,4758,8.9,COc1ccc(c(c1)Nc1ncnc2c1cc(cc2)[N+](=O)[O-])OC
NEQSIN,199.8,1.3545,298.2,5053,9.6,N#Cc1cc(ccc1/N=C/N(C)C)[N+](=O)[O-]
NEZBIE,-333.5,1.5034,286.6,4734,9,COc1ncc(c2c1[nH]cc2)OC(=O)c1ccc(cc1)[N+](=O)[O-]
NHANTQ,-531.6,1.7145,249,5766,14.6,Oc1ccc(c2c1C(=O)c1c(C2=O)c(O)ccc1[N+](=O)[O-])[N+](=O)[O-]
NHMENT,-257.9,1.5074,235.7,6076,14.9,OC[C@@H]1C[C@@]2(N[C@H]1[C@H]1C[C@]1(C2)[N+](=O)[O-])[N+](=O)[O-]
NHPYOX10,-301.7,1.256,294.3,3991,5.6,C[C@H]1C[C@H]2CCCCN2[C@H](O1)c1ccc(cc1)[N+](=O)[O-]
NIAMBP,73.7,1.3239,265,4245,6.6,Nc1ccc(cc1)c1ccccc1[N+](=O)[O-]
NIBBEI,-704,1.4688,285.4,4621,8.5,O=C1OC2(CCCC2)OC(=O)C1=CNc1cccc(c1)[N+](=O)[O-]
NIEQIN,-244.3,1.2727,319.5,4195,6.3,CCOc1cc([N+](=O)[O-])c2c(c1)C(=CC(N2)(C)C)C
NIHBOX,-270.8,1.3479,293,4716,8.3,O=C1/C(=C/2\C=CC(=[N+]([O-])[O-])C=C2)/[N+](=O)[C@](N1C)(C)C(C)C
NIKTEH,226.4,1.4729,288.4,4576,8.3,[O-][N+](=O)c1cccc(c1)c1nc2ccccc2nc1c1cccc(c1)[N+](=O)[O-]
NIKVAF,-62.1,1.3495,294,4603,7.9,CO[C@H](c1ccc(cc1)[N+](=O)[O-])Nc1ccccn1
NILZAM,-416,1.4563,148,6131,14.8,CCOC(=O)c1noc(c1)CO[N+](=O)[O-]
NIMFOE,-319.1,1.8072,284.5,6912,21.7,[O-][N+](=O)c1c[nH]c(=O)[nH]c1=O
NINQEI,-317.8,1.4797,296.9,5123,10.5,CNC1=C([N+](=O)[O-])[C@H](C2=C(O1)CCCC2=O)c1ccc(cc1)[N+](=O)[O-]
NIPCIM,267.9,1.502,292.2,5289,11.3,[O-][N+](=O)c1ccc(cc1)N=C=Nc1ccc(cc1)[N+](=O)[O-]
NIPFUP,-115.9,1.4697,257,5324,11.3,[O-][N+](=O)c1ccc(o1)/C=C/C(=O)c1ccccc1[N+](=O)[O-]
NIPHAZ,351.5,1.5736,295.6,6213,16,N#[N+][N-]c1ccc(cc1)[N+](=O)[O-]
NIPPAG,-79,1.4038,284.5,4800,8.9,CCN1C(=O)/C(=N\Nc2cccc(c2)[N+](=O)[O-])/C(=C(C1=O)C#N)C
NIPYAZ,226.9,1.5853,179.1,7210,21.7,[O-][N+](=O)n1cccn1
NIQTUD,-659.4,1.49,293.3,5101,10.4,O=C(Oc1ccc(cc1)[N+](=O)[O-])CCC(=O)Oc1ccc(cc1)[N+](=O)[O-]
NISGEB,692.1,1.4998,198.3,6388,16.4,[O-][N+](=O)C(CCc1nnn[nH]1)(CCc1nnn[nH]1)CCc1nnn[nH]1
NITBAL02,35.6,1.5081,292.8,5683,13,O/N=C/c1ccc(cc1)[N+](=O)[O-]
NIVPAJ,-178.5,1.5364,1053946.4,5580,12.7,OCc1ccc(c(c1)N)[N+](=O)[O-]
NIWROB03,-73.8,1.4626,289.4,4516,8.1,O=C1N[C@H](Nc2c1cccc2)c1cccc(c1)[N+](=O)[O-]
NIZCAA,28,1.4216,270.4,5057,9.9,Cc1cccc(n1)Cc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
NMALAM,-453.8,1.7801,990507.8,7002,22,N/C(=C(/C(=O)N)\[N+](=O)[O-])/O
NMBYAN,114.4,1.311,291.5,4123,6.2,Cc1ccc(cc1)/N=C/c1ccc(cc1)[N+](=O)[O-]
NMBZAX,56.9,1.4711,295.1,5630,12.6,C[N+](=O)/C=C/1\C=CC(=[N+]([O-])[O-])C=C1
NMBZYA01,5,1.3595,293.1,4444,7.4,COc1ccc(cc1)/N=C/c1ccc(cc1)[N+](=O)[O-]
NMHXNT,-293.6,1.5811,240.9,6459,17.4,OC[C@@H]1C[C@@]2(N([C@H]1[C@H]1C[C@]1(C2)[N+](=O)[O-])O)[N+](=O)[O-]
NMZNON01,-338.3,1.4492,224.4,5792,13.2,CN1C[C@@]2(CC(=O)C[C@](C1)(C2)[N+](=O)[O-])[N+](=O)[O-]
NNAPAN10,-386,1.7771,228.3,5996,16.1,O=C1OC(=O)c2c3c1ccc(c3c(cc2)[N+](=O)[O-])[N+](=O)[O-]
NNAPMP,-92.2,1.4353,246.5,4662,8.5,[O-][N+](=O)c1cc([N+](=O)[O-])c2c(c1Oc1c(C)cccc1C)cccc2
NNTSED10,-19.5,1.6405,226.8,8097,28,O=[N+]([N+](=O)CC[N+](=O)[O-])CC[N+](=O)[O-]
NOACTD,-262.2,1.5922,209.2,7051,20.8,[O-][N+](=O)CC(=O)N
NOEURA,-264.2,1.8612,147.5,9031,37.6,O=C(NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
NOFBEP,-411.4,1.3329,245.9,4672,8.1,CNC(=C([N+](=O)[O-])C=C1C(=O)CC(CC1=O)(C)C)NC
NOFLUP,-138.9,1.3237,307.5,4275,6.7,O[C@@H](c1ccccc1)CNc1ccc(cc1)[N+](=O)[O-]
NOGCIX,303.6,1.3292,311,4444,7.3,C/C(=C\C#Cc1nc(n(c1[N+](=O)[O-])C)C)/c1ccccc1
NOHCAQ,-85.1,1.356,291.9,4149,6.5,CN1C=C(c2ccccc2)[C@H](NC1=O)c1ccc(cc1)[N+](=O)[O-]
NOHTAZ,41.4,1.5803,130.9,7421,23,C[C@@H]1N([N+](=O)[O-])[C@H](C)N([C@@H](N1[N+](=O)[O-])C)[N+](=O)[O-]
NOLHIG,-248.1,1.3714,288.7,4177,6.6,COC(=O)c1n(c2ccc(cc2)[N+](=O)[O-])c(c2c1cccc2)C
NOMBEA01,-387,1.6576,255.3,6339,17.3,[O-][N+](=O)c1cc(cc(c1C)[N+](=O)[O-])C(=O)O
NOPHKN,-86.7,1.4736,283.5,5041,10.1,O=C(c1ccc(cc1)[N+](=O)[O-])c1ccc(cc1)[N+](=O)[O-]
NOQVUL,2.8,1.385,292.1,4659,8.3,Cc1ccc(o1)/C=N/c1cccc(c1)[N+](=O)[O-]
NORPUG,-467.9,1.431,277.4,5335,11.1,CC(COC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])C
NOSLIQ,-199.8,1.5837,141.6,6472,17.5,[O-][N+](=O)OCC1(COC(=N1)c1cccnc1)CO[N+](=O)[O-]
NOSNUE,-362.1,1.4539,148.9,5595,12.3,[O-][N+](=O)OCCOC(=O)c1cccnc1
NOTRAP,-467.9,1.3709,291.6,4325,7.1,CC[C@@]1(CCC(=O)NC1=O)c1ccc(cc1)[N+](=O)[O-]
NPASPG,-606.5,1.6299,290.3,6059,15.6,NC(=O)C[C@H](C(=O)O)Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
NPBUDY,485.7,1.4426,288.7,4718,8.7,[O-][N+](=O)c1ccc(cc1)C#CC#Cc1ccc(cc1)[N+](=O)[O-]
NPHDZA,68.1,1.2645,308.5,4786,8.2,CC/C(=N/Nc1ccc(cc1)[N+](=O)[O-])/C
NPHDZB,102.8,1.4636,298.3,5972,14.1,CC/C=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
NPNFPR,-125.2,1.5228,285,5440,12,O=C(c1ccc(cc1)[N+](=O)[O-])/C=C/c1ccc(o1)[N+](=O)[O-]
NPYRAM,140.1,1.5317,299.6,5811,13.8,[O-][N+](=O)c1cccnc1NCNc1ncccc1[N+](=O)[O-]
NTBYPY,99.2,1.4598,265,5217,10.8,[O-][N+](=O)c1cc(ccc1Cc1ccncc1)[N+](=O)[O-]
NTBZAM01,-179,1.5891,288.3,5418,12.3,NC(=O)c1ccc(cc1)[N+](=O)[O-]
NTPYRO11,82.5,1.5644,297.7,6478,17.4,[O-][n+]1ccc(cc1)[N+](=O)[O-]
NUCDEW,53.4,1.3695,212.6,4652,8.2,N#CC([C@@]1(C[N+](=O)[O-])C(=O)Nc2c1cc(C)cc2)C#N
NUDLIH,-288.9,1.311,310.2,4544,7.6,CC[NH+](Cc1cc(ccc1[O-])[N+](=O)[O-])CC
NUKBOK,-139.6,1.2473,296,4010,5.7,[O-][N+](=O)c1ccc2c(c1)C(C)(C)NC2(C)C
NULGEI,-86.9,1.3126,177,3939,5.7,[O-][N+](=O)[C@H]1C(=O)NC(=C[C@@H]1c1ccccc1)c1ccccc1
NUMXAV,-21,1.7508,285.1,8148,29.5,CNC(=C([N+](=O)[O-])[N+](=O)[O-])N
NUNCOO,-138.4,1.2021,307.9,4028,5.6,OC[C@@H](c1ccccc1)Nc1ccc(cc1)[N+](=O)[O-]
NUPJAJ,-215.8,1.5295,235.8,5623,12.9,COc1ccc2c(c1[N+](=O)[O-])c([N+](=O)[O-])c(cc2)OC
NUPMES,211.4,1.412,297.2,4667,8.4,[O-][N+](=O)c1ccc(cc1)/N=C/c1ccccn1
NUPYON,-527.2,1.4591,305.2,4823,9.2,COc1cc(cc(c1O)/C=N/NC(=O)c1cccc(c1O)C)[N+](=O)[O-]
NUQJEP,37.4,1.4502,290.9,5542,12.1,O/N=C/c1cccc(c1)[N+](=O)[O-]
NUQPOF,-483.5,1.8412,245.6,7041,22.7,O=C1c2c(cc(c(c2C(=O)c2c1c(cc(c2O)[N+](=O)[O-])[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-]
NUQRUN,-75.5,1.4342,268.6,4407,7.6,O=C(c1ccccc1[N+](=O)[O-])N/N=C/c1c(O)ccc2c1cccc2
NUQZIJ01,-0.4,1.4922,306.9,4422,7.8,Nc1ccc(cc1N/C=C/1\C(=O)C=Cc2c1cccc2)[N+](=O)[O-]
OBOKIC,19.4,1.4394,306.1,4234,7,Oc1ccc(cc1/C=N/c1ccc(cc1)Nc1ccccc1)[N+](=O)[O-]
OBUJAY,16.5,1.4419,299.3,5284,10.9,COc1ccccc1/C(=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])/C
OBUWUF,-89.3,1.4338,286.5,4389,7.5,O=C(c1ccc(cc1)[N+](=O)[O-])N/N=C/c1c(O)ccc2c1cccc2
OBUXOA,81.8,1.2953,300.6,4735,8.1,CCCNc1ccc(cc1[N+](=O)[O-])C#N
OCALEL,71.3,1.336,263,4603,7.9,C/C(=N\NC(=O)c1ccccc1[N+](=O)[O-])/c1ccccn1
OCALOU,-237,1.3919,314.7,4867,9.1,CC(=O)NCCNc1ccc(cc1)[N+](=O)[O-]
OCAYID,37.2,1.3245,156.9,4305,6.8,[O-][N+](=O)C(c1ccnc(n1)c1ccccc1)(C)C
OCEHEL,143.5,1.5316,261.9,5358,11.7,N#CC(=Cc1cc2OCOc2cc1[N+](=O)[O-])C#N
OCEKIS,122.2,1.3737,291.2,4896,9.1,CCOc1ccccc1N/N=N/c1cccc(c1)[N+](=O)[O-]
OCHTET18,188.2,1.9194,157.2,9323,40.8,[O-][N+](=O)N1CN(CN(CN(C1)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
OCOMOK,-410.9,1.4114,312.7,4927,9.4,OC(=O)CCNc1ccc(cc1)[N+](=O)[O-]
OFAHAH,-34.3,1.636,198.2,6627,18.7,[O-][N+](=O)[C@]12[C@H]3C[C@H]4C[C@@H]2[C@@]([N+](=O)[N+]1=O)([C@@H](C3)C4)[N+](=O)[O-]
OFOMAX,-265.2,1.3732,286.7,4156,6.5,O=C(c1ccc(cc1)[N+](=O)[O-])OCCn1ccc2c1cccc2
OGENIY01,-25.8,1.4376,287.4,4263,7.1,O=C(c1cccc(c1)[N+](=O)[O-])Nc1cccc2c1nccc2
OGEPUM01,-28,1.4773,289.2,4336,7.5,O=C(c1ccc(cc1)[N+](=O)[O-])Nc1cccc2c1nccc2
OJAREW,-295.3,1.489,298,5078,10.3,CO[C@@]12[C@@H]3O[C@@H]3CN1c1c(C2=O)cc(cc1)[N+](=O)[O-]
OJARIA,-275.2,1.5527,279.2,5250,11.4,CO[C@@]12[C@H]3O[C@H]3CN2c2c(C1=O)cccc2[N+](=O)[O-]
OJIJOG,42.2,1.4328,299.8,5542,12,[O-][N+](=O)c1cc(ccc1NN=C1CCCCC1)[N+](=O)[O-]
OJIRIJ,65.9,1.4197,263.4,4500,7.8,COc1ccc(c(c1)[N+](=O)[O-])c1cnc2c(n1)cccc2
OJOLAC,-336.4,1.4862,63.7,6379,16.3,O=NC1(COC(OC1)(C)C)[N+](=O)[O-]
OJUNEM,307,1.2164,297.4,5002,8.6,CN(/N=C(/c1ccc(cc1)[N+](=O)[O-])\C=N\N(C)C)C
OJUNUC,298.1,1.2571,300.7,4868,8.4,CN(/N=C/C(=N\N1CCCC1)/c1ccc(cc1)[N+](=O)[O-])C
OLIHIA,-632.7,1.4091,286.5,4883,9.2,COC(=O)/C(=C/C(=O)OC)/Nc1ccccc1[N+](=O)[O-]
OLIHUM,-442.3,1.5622,295.3,5082,10.7,COC(=O)c1cc(=O)c2c([nH]1)c(ccc2)[N+](=O)[O-]
OLIJEY,-504.7,1.2913,267.7,4348,6.8,COC(=O)c1cc(OCC(C)C)c2c(n1)c(ccc2)[N+](=O)[O-]
OLOHEC,-179.2,1.5038,294.3,4801,9.3,O=C1C=CC=C/C/1=C/Nc1ccc(cc1O)[N+](=O)[O-]
OMITIP,-305.4,1.4744,296.9,5258,11,OC[C@H]1O[C@H](C[C@@H]1O)n1nnc(c1)c1ccc(cc1)[N+](=O)[O-]
OMIWEM,284,1.5634,280,6201,15.9,[O-][N+](=O)C1=[N+]2C=CC=[N+]2C=C1
OMOBOH,-257.9,1.4636,247,5389,11.5,CCOC(=O)c1cn(nc1C)c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
OMOTEP,-575.6,1.5253,291.1,5334,11.6,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1ncc2c1cccc2[N+](=O)[O-]
OMOTIT,-542.5,1.5599,302.2,5465,12.3,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1nc2c(c1)c(ccc2)[N+](=O)[O-]
OMUXEB,-366.6,1.2972,328.7,4568,7.6,O=Cc1cc(cc(c1[O-])C[N+](CC)(CC)CC)[N+](=O)[O-]
ONABAH,130.1,1.4612,304.6,4806,9.1,[O-][N+](=O)c1ccccc1Nc1nnc(o1)c1ccccc1
ONABEL,299.1,1.3125,272.3,4195,6.4,N#CC(=C(c1ccc(cc1)OC)/C=C/c1ccccc1[N+](=O)[O-])C#N
ONBZAM,-162.4,1.4406,270.3,5115,10.2,[O-][N+](=O)c1ccccc1C(=O)N
ONITAN02,8.5,1.4606,311.7,5425,11.6,[O-][N+](=O)c1ccccc1N
ORAWAG,-397.4,1.6941,216.2,7341,23.5,COc1c([N+](=O)[O-])c(OC)c(c(c1[N+](=O)[O-])O)[N+](=O)[O-]
OROYUR,19.3,1.4492,265.7,5225,10.7,COc1ccc(c(c1)[N+](=O)[O-])C#N
OSIDEB,-607.9,1.4841,286.4,4427,7.8,O=C(c1ccc(cc1)[N+](=O)[O-])OCN1C(=O)c2c(C1=O)cccc2
OTENEI,-98.2,1.4265,289.8,4598,8.2,COc1cc(ccc1C(=O)Nc1ccccc1n1cccn1)[N+](=O)[O-]
