ID,HOF_S(kJ/mol),Density(g/cm^3),BDE(kJ/mol),DetoD(m/s),DetoP(GPa),SMILES
INEZUY,308.2,1.7462,318.9,8200,29.8,Nn1nc(c(n1)[N+](=O)[O-])N
INOLUU,302.8,1.3516,292,4501,7.6,[O-][N+](=O)c1nnn(c1c1ccccc1)Cc1ccccc1
IPOXAZ,17,1.2978,290.1,5063,9.3,CC(N1O[C@@H]1c1ccc(cc1)[N+](=O)[O-])C
IPUPOZ,456.7,1.686,264.5,6995,21.3,N#Cc1cc([N+](=O)[O-])c2c(c1)[N+](=O)O[N-]2
IQOMIL,85.1,1.3854,209.3,4616,8.1,N#CC(=C1C[C@H](c2ccco2)[C@H]([C@H](C1)c1ccco1)[N+](=O)[O-])C#N
IQOPIO,216.2,1.2189,231.6,4245,6.2,N#CC(=C(C[C@H](c1ccccc1)C[N+](=O)[O-])C)C#N
IQUHUZ,-237.6,1.4051,296.1,4976,9.5,CCOC(=O)Cn1cc2c(n1)cc(cc2)[N+](=O)[O-]
ISACIO,-166.8,1.2848,289,4006,5.8,C[C@@H](c1ccccc1)NC(=O)c1ccc(cc1)[N+](=O)[O-]
ISAJAN,204.8,1.5357,254,5988,14.7,N#[N+][N-]C(=O)c1ccccc1[N+](=O)[O-]
ISAJER,180,1.5826,283.6,6067,15.4,O=C(c1ccc(cc1)[N+](=O)[O-])[N-][N+]#N
ISAYAC02,-24.1,1.5228,262.3,6158,15.4,Nc1cc([N+](=O)[O-])c(c(c1)[N+](=O)[O-])C
ISAYEG01,-38.2,1.5874,265.3,6675,18.6,ONc1cc(cc(c1C)[N+](=O)[O-])[N+](=O)[O-]
ISICUJ,16.5,1.3064,312.2,4070,6,Cc1cc(ccc1NCc1ccccc1)[N+](=O)[O-]
ISUQES,252.4,1.4023,283.8,4872,9.1,N#Cc1c(nc(n1c1ccccc1)C)[N+](=O)[O-]
ITASIH,52.4,1.3787,272.1,5250,10.5,O[C@@H](c1ccccc1[N+](=O)[O-])Nn1c(C)nnc1C
ITIKAY01,-568.1,1.425,297.8,5112,10.2,CCOC(=O)/C(=N\Nc1ccc(cc1O)[N+](=O)[O-])/C(=O)C
ITINAA,823.1,1.5748,291,6875,19.6,N#[N+][N-]CC(=NNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])C[N-][N+]#N
ITINEE,-322.3,1.7817,140.3,7138,22.9,OC(=O)c1nnn(c1)CC([N+](=O)[O-])([N+](=O)[O-])Cn1nnc(c1)C(=O)O
IVEQIL,-546,1.314,292.8,4442,7.2,CCOC(=O)C1=N[C@H](O[C@@H]1c1ccc(cc1)[N+](=O)[O-])C(C)C
IVEREH,-144.2,1.4106,313.8,5063,9.9,[O-][N+](=O)C1=C/C(=C/NCC)/C(=O)C=C1
IYAWEK,98.1,1.5032,296.6,6154,15.3,O/N=C(/C(=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])/C)\C
IZAREG,-153.6,1.4428,289.4,5265,10.9,CC(=O)O/N=C/c1cccc(c1)[N+](=O)[O-]
IZEQUA,-76.7,1.4985,296.4,4771,9.2,CN1C(=O)/C(=N\Nc2ccc(cc2)[N+](=O)[O-])/C(=O)c2c1cccc2
IZIPUD,-4.8,1.4907,298.7,5375,11.6,Oc1ccc(cc1)/C(=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])/C
IZUFIS,170.9,1.374,247.4,4026,6.1,[O-][N+](=O)c1cc2ccccc2nc1c1ccccc1
IZUFUE,46.5,1.3541,272.2,4441,7.4,CCc1nc2ccccc2cc1[N+](=O)[O-]
JABLUW01,588.7,1.6681,150.9,7501,24.3,[O-][N+](=O)n1ccc(n1)n1cnnn1
JABMAD01,602.4,1.7284,154.4,7711,26.2,[O-][N+](=O)n1ncc(c1)n1cnnn1
JACYOB,-178.3,1.4745,290.4,5157,10.6,NC(=O)c1cccc(c1)[N+](=O)[O-]
JADNIM,-281.1,1.2883,322.6,4268,6.6,O=C1C=CC(=CC1=C1NC(C(N1)(C)C)(C)C)[N+](=O)[O-]
JAHPIR,262.8,1.4573,300.4,5738,13,[O-][N+](=O)c1ccc(o1)/C=N/n1cccn1
JAJBEB,-42.5,1.828,121.2,7999,29.2,[O-][N+](=O)C1([N+](=O)[O-])[C@@H]2[C@@H]3[C@@H]4[C@H]1[C@@H]1[C@H]2C([C@H]3[C@H]4C1([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
JAKCOO,367.1,1.5093,247.3,5849,13.8,Cc1ccnc(c1[N+](=O)[O-])/N=N/c1nccc(c1[N+](=O)[O-])C
JAPKIU,133.7,1.7751,246.6,7869,27.8,NNc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
JAPPAR,-218.4,1.3635,294.4,5127,9.9,CCN1CCO[C@@H](O1)c1ccc(cc1)[N+](=O)[O-]
JAPXIK,282.9,1.3076,296.2,4235,6.5,[O-][N+](=O)c1ccc(cc1)/C=C\C1=NN(CC1)c1ccccc1
JAPXOQ,260.9,1.3672,299.1,4325,7.1,[O-][N+](=O)c1ccc(cc1)/C=C/C1=NN(CC1)c1ccccc1
JAQTOK,233.1,1.4534,263.1,4337,7.4,[O-][N+](=O)c1ccccc1c1nnc2c(c1)C(=O)c1c2cccc1
JAQVUV,46.1,1.6638,108.3,7463,24,CCN(c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
JASLEV,-218,1.6601,275,7403,23.6,CC(=O)NC(=C([N+](=O)[O-])[N+](=O)[O-])N
JAWKIC,278.5,1.3404,303.8,4573,7.8,C[C@@]1(CN=NN1c1ccc(cc1)[N+](=O)[O-])c1ccccc1
JAXTAE,274.7,1.4473,287.1,5198,10.6,[O-][N+](=O)c1cccc(c1)/C=N/N=C/c1cccc(c1)[N+](=O)[O-]
JAYDET,-267.8,1.3645,315.1,4385,7.2,OC[C@H](Cc1ccccc1)N/C=C\1/C=C(C=CC1=O)[N+](=O)[O-]
JAYGEW,-455.4,1.5359,292.4,5191,11,O=C(Nc1ccc(cc1)[N+](=O)[O-])/C=C\C(=O)O
JAYZOB,-308.8,1.3605,288.9,4495,7.6,O=C(N(c1ccccc1)OC(=O)C)c1ccc(cc1)[N+](=O)[O-]
JECVAO,-5.1,1.4026,292.8,5767,12.8,O[C@@H](Cn1ccnc1[N+](=O)[O-])CN1CC1
JECVES,-57.2,1.3363,290.2,5409,10.9,[O-][N+](=O)c1nccn1C[C@@H](CN1C[C@@H]1C)O
JEDSUG,-52.5,1.7888,150.8,8387,31.7,O=C1N(CCN1[N+](=O)[O-])[N+](=O)[O-]
JEDXIC,100.5,1.4125,301.9,4426,7.6,Cc1cc2c(cc1C)nc1n2CCn2c1c(cc2)[N+](=O)[O-]
JEHLAJ,72.6,1.9691,138.4,9164,40,[O-][N+](=O)N1CCN([C@@H]2[C@H]1N([N+](=O)[O-])C(=O)N2[N+](=O)[O-])[N+](=O)[O-]
JEHLEN,-196.2,1.7564,154.1,8061,28.9,CC(=O)O[C@@H]1N([N+](=O)[O-])[C@H]2[C@@H](N1[N+](=O)[O-])N(CCN2[N+](=O)[O-])[N+](=O)[O-]
JEHNUF,-203.4,1.4655,285.4,4646,8.6,O=C(c1ccc(cc1)[N+](=O)[O-])Oc1ccccn1
JEJZAA,170.2,1.5996,89.9,6835,19.6,O=[N+]1C=C/C(=[NH+]/[N+](=O)[O-])/C=C1
JEKHIR,-540.3,1.3168,287.5,4593,7.7,CCOC(=O)[C@H](/C(=C\c1ccc(cc1)N(C)C)/[N+](=O)[O-])O
JEKQUO,-325.9,1.453,150.6,4661,8.6,[O-][N+](=O)O[C@@H]1[C@H](Cc2c1cccc2)ON1C(=O)c2c(C1=O)cccc2
JELTEC,293.7,1.3843,1950321.2,4557,7.9,[O-][N+](=O)c1ccc(cc1)n1nnc(c1)Cc1ccccc1
JEMWII,-175.7,1.4186,229.3,5022,9.8,COc1ccccc1C(=C([N+](=O)[O-])[N+](=O)[O-])c1ccccc1OC
JENZAG,-18.7,1.4639,293.4,4411,7.7,[O-][N+](=O)c1ccc2c(c1)nc(o2)c1ccccc1
JEQWEI,279.8,1.4294,290.4,4796,9,[O-][N+](=O)c1ccc(cc1)Cn1nnc2c1cccc2
JERVUY,-100.7,1.8027,265,7541,25.7,[O-][N+](=O)c1c[nH]c(=O)c(c1)[N+](=O)[O-]
JEXLUT,161.6,1.7911,157.1,8427,32,[O-][N+](=O)N1CN(C[C@@H]2[C@H]1CN(CN2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
JEXMAA,177.5,1.7113,142.5,8180,29.3,[O-][N+](=O)N1CN(C[C@@H]1[C@H]1CN(CN1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
JEXMEE,166.1,1.7117,138.3,8170,29.3,[O-][N+](=O)N1CN(C2(C1)CN(CN(C2)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
JEXMII,191.5,1.8217,141.7,8560,33.4,[O-][N+](=O)N1CCN([C@@H]2[C@@H]1N(CCN2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
JIDBIH,-367.3,1.3311,182.2,4964,9.1,[O-][N+](=O)C1(CCCCC1)C1(CCCCC1)[N+](=O)[O-]
JIJROJ,-831.1,1.6122,130.6,7591,24.3,CO[C@@H]1O[C@H](CO[N+](=O)[O-])[C@H]([C@@H]([C@H]1O[N+](=O)[O-])O)O[N+](=O)[O-]
JILKEU,321.9,1.395,179.6,5285,10.7,N#C[C@]1([N+](=O)[O-])[C@H]2[C@@H]1[C@@H]1C[C@H]2C=C1
JINYEK,320.2,1.3819,282.5,5823,12.9,CN1N=NN(C(/C/1=N/c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])(C)C)C
JIPSAF,900.3,1.7944,280.4,8078,29.5,[O-][N+](=O)c1nonc1Nc1nnc2n(n1)cnn2
JIRTAG,184.6,1.3796,298.2,3727,5.3,[O-][N+](=O)c1ccc(cc1)/C=C/n1c2ccccc2c2c1cccc2
