ID,Formula,Density,OB2,Mass,Volume,Ro(g/cm^3),Area,PosArea,NegArea,Ave,PosAve,NegAve,Sigma2,PosSigma2,NegSigma2,Nu,NuSigma2,Pi,MPI,NonPolarArea,PolarArea,Sphericity,HSub,Dipole
ske_55_1_19,C4HN7O6,1.936877189,-16.46098461,242.99883,209.05724,1.9309,212.61526,114.22429,98.39097,6.23207,21.74918,-11.78209,260.7333,217.76042,42.97288,0.13765133,35.89029,17.32014,17.13675,71.21,141.41,0.8012,104.2208933,1.326507053
ske_55_1_35,C4N8O8,1.994043687,,287.98391,239.19449,2,236.4016,142.8356,93.566,6.13168,16.53778,-9.75401,207.39482,173.00484,34.38998,0.138323,28.68747,13.70122,13.85281,105.74,130.66,0.7883,111.7662222,0.764069235
ske_55_2_20,C4HN7O6,1.92256976,-16.46098461,242.99883,209.15752,1.93,213.37587,105.0461,108.32977,5.09139,21.7841,-11.09534,237.17933,202.61732,34.56201,0.12448639,29.5256,16.79534,16.35747,75.18,138.2,0.7986,100.7382962,1.028734961
ske_55_2_22,C4H3N7O4,1.886363304,-41.30977331,213.02465,195.14696,1.8134,199.82688,94.01416,105.81271,1.42934,23.99328,-18.61862,443.13808,355.38866,87.74943,0.15880702,70.37344,21.25584,21.14728,49.18,150.65,0.8142,114.879505,3.844716136
ske_55_2_24,C4H3N7O4,1.895867593,-41.30977331,213.02465,193.60337,1.8279,197.89957,106.77071,91.12886,2.82173,20.43313,-17.81258,289.2455,181.241,108.0045,0.23397264,67.67553,19.09394,19.22642,47.59,150.31,0.8178,112.9030999,2.982969481
ske_55_2_25,C4H3N7O4,1.830664836,-41.30977331,213.02465,194.46703,1.8197,200.10639,104.34626,95.76013,4.28988,21.7538,-14.7399,225.32792,171.99079,53.33713,0.18067781,40.71176,18.42405,18.39733,49.24,150.87,0.8112,101.145644,0.559489461
ske_55_2_35,C4N8O8,1.974061497,,287.98391,239.83978,1.9946,240.0493,124.6459,115.4034,5.74923,18.58319,-8.11259,190.5484,165.35511,25.19329,0.11473393,21.86237,14.04694,13.54946,113.14,126.91,0.7777,109.0119595,0.117308962
ske_55_2_7,C4H2N6O4,1.849010586,-40.40123476,198.01375,178.62362,1.8416,186.92515,98.0928,88.83235,4.90961,22.3948,-14.39835,239.50634,191.24342,48.26292,0.16090372,38.53746,18.61957,18.59465,45.36,141.56,0.8206,94.25738065,0.00013793
ske_55_3_11,C4H2N6O4,1.845549334,-40.40123476,198.01375,179.28649,1.8348,186.96726,97.93871,89.02855,4.5144,21.8788,-14.58786,254.44619,204.27762,50.16856,0.15829258,40.27694,18.42207,18.40706,45.39,141.58,0.8224,95.23109545,0.898103312
ske_55_3_34,C4HN7O6,1.929976126,-16.46098461,242.99883,209.61576,1.9257,211.09454,97.77068,113.32386,3.8942,21.04756,-10.90493,265.67831,223.92035,41.75796,0.13247095,35.19466,16.11878,15.6026,80.85,130.24,0.8084,103.0988257,1.622786493
